topic_id,topic_name,top_words
0,Atención al cliente y servicio general,"service, tyre, halfords, customer, chat, car, tyres, order, customer service, day, mobile, booked"
1,"Bicicletas, compra y reparaciones","bike, buy, bike halfords, bought, repair, better, bought bike, new bike, issues, new, just, took"
2,"Baterías, garantía y pedidos","battery, guarantee, told, warranty, car, order number, fitted, did, number, car battery, order, year"
3,Experiencia en tienda y personal,"store, staff, helpful, visited, store today, today, halfords store, member, knowledgeable, manager, member staff, bikes"
4,Bombillas y luces del vehículo,"bulb, went, light, light bulb, brake light, brake, did, great, service, fitted, great service, help"
5,Limpiaparabrisas y escobillas,"blade, wiper, windscreen, wiper blade, windscreen wiper, rear, correct, blades, bought, new, fault, halfords bought"
